query_num,query_file,mechanism,database,epsilon,delta,seed,n_rows,metric_type,median_re,pass,spearman_rho,p_value,mean_tvd,max_tvd,tvd
1,battery_power_on_geographic_summary.csv,gaussian,full,1.0,1e-06,42,37,RE,0.0264,1,,,,,
2,battery_on_duration_by_cpu_family_and_generation.csv,gaussian,full,1.0,1e-06,42,14,RE,0.0273,1,,,,,
3,display_devices_connection_type_resolution_durations.csv,gaussian,full,1.0,1e-06,42,433,SPEARMAN,,1,0.9978,0.0,,,
4,display_devices_vendors_percentage.csv,gaussian,full,1.0,1e-06,42,21,RE,1.0,0,,,,,
5,mods_blockers_by_os_name_and_codename.csv,gaussian,full,1.0,1e-06,42,11,RE,0.2186,1,,,,,
6,most_popular_browser_in_each_country.csv,gaussian,full,1.0,1e-06,42,51,SPEARMAN,,0,0.0644,0.6534,,,
7,on_off_mods_sleep_summary_by_cpu.csv,gaussian,full,1.0,1e-06,42,27,TVD,,1,,,0.0829,0.1569,
8,persona_web_category_usage_analysis.csv,gaussian,full,1.0,1e-06,42,11,TVD,,1,,,0.1481,0.5192,
9,package_power_by_country.csv,gaussian,full,1.0,1e-06,42,51,RE,0.1115,1,,,,,
10,popular_browsers_by_count_usage_percentage.csv,gaussian,full,1.0,1e-06,42,3,TVD,,1,,,,,0.0441
11,ram_utilization_histogram.csv,gaussian,full,1.0,1e-06,42,23,TVD,,1,,,,,0.054
12,ranked_process_classifications.csv,gaussian,full,1.0,1e-06,42,5,SPEARMAN,,0,0.0,1.0,,,
