query_num,query_file,mechanism,variant,database,epsilon,delta,seed,n_rows,metric_type,median_re,pass,spearman_rho,p_value,mean_tvd,max_tvd,tvd
1,battery_power_on_geographic_summary.csv,gaussian,advance,mini,0.01,1e-06,42,37,RE,1.0,0,,,,,
1,battery_power_on_geographic_summary.csv,gaussian,advance,mini,0.05,1e-06,43,37,RE,0.758,0,,,,,
1,battery_power_on_geographic_summary.csv,gaussian,advance,mini,0.1,1e-06,44,37,RE,0.4219,0,,,,,
1,battery_power_on_geographic_summary.csv,gaussian,advance,mini,0.5,1e-06,45,37,RE,0.0899,1,,,,,
1,battery_power_on_geographic_summary.csv,gaussian,advance,mini,1.0,1e-06,46,37,RE,0.0347,1,,,,,
1,battery_power_on_geographic_summary.csv,gaussian,advance,mini,inf,1e-06,47,37,RE,0.0,1,,,,,
2,battery_on_duration_by_cpu_family_and_generation.csv,gaussian,advance,mini,0.01,1e-06,42,14,RE,1.0,0,,,,,
2,battery_on_duration_by_cpu_family_and_generation.csv,gaussian,advance,mini,0.05,1e-06,43,14,RE,0.503,0,,,,,
2,battery_on_duration_by_cpu_family_and_generation.csv,gaussian,advance,mini,0.1,1e-06,44,14,RE,0.3352,0,,,,,
2,battery_on_duration_by_cpu_family_and_generation.csv,gaussian,advance,mini,0.5,1e-06,45,14,RE,0.0853,1,,,,,
2,battery_on_duration_by_cpu_family_and_generation.csv,gaussian,advance,mini,1.0,1e-06,46,14,RE,0.0353,1,,,,,
2,battery_on_duration_by_cpu_family_and_generation.csv,gaussian,advance,mini,inf,1e-06,47,14,RE,0.0,1,,,,,
3,display_devices_connection_type_resolution_durations.csv,gaussian,advance,mini,0.01,1e-06,42,225,SPEARMAN,,0,0.2006,0.0025,,,
3,display_devices_connection_type_resolution_durations.csv,gaussian,advance,mini,0.05,1e-06,43,225,SPEARMAN,,1,0.7774,0.0,,,
3,display_devices_connection_type_resolution_durations.csv,gaussian,advance,mini,0.1,1e-06,44,225,SPEARMAN,,1,0.8754,0.0,,,
3,display_devices_connection_type_resolution_durations.csv,gaussian,advance,mini,0.5,1e-06,45,225,SPEARMAN,,1,0.9888,0.0,,,
3,display_devices_connection_type_resolution_durations.csv,gaussian,advance,mini,1.0,1e-06,46,225,SPEARMAN,,1,0.9971,0.0,,,
3,display_devices_connection_type_resolution_durations.csv,gaussian,advance,mini,inf,1e-06,47,225,SPEARMAN,,1,1.0,0.0,,,
4,display_devices_vendors_percentage.csv,gaussian,advance,mini,0.01,1e-06,42,21,RE,1.0,0,,,,,
4,display_devices_vendors_percentage.csv,gaussian,advance,mini,0.05,1e-06,43,21,RE,1.0,0,,,,,
4,display_devices_vendors_percentage.csv,gaussian,advance,mini,0.1,1e-06,44,21,RE,1.0,0,,,,,
4,display_devices_vendors_percentage.csv,gaussian,advance,mini,0.5,1e-06,45,21,RE,1.0,0,,,,,
4,display_devices_vendors_percentage.csv,gaussian,advance,mini,1.0,1e-06,46,21,RE,1.0,0,,,,,
4,display_devices_vendors_percentage.csv,gaussian,advance,mini,inf,1e-06,47,21,RE,0.0,1,,,,,
5,mods_blockers_by_os_name_and_codename.csv,gaussian,advance,mini,0.01,1e-06,42,11,RE,18.1645,0,,,,,
5,mods_blockers_by_os_name_and_codename.csv,gaussian,advance,mini,0.05,1e-06,43,11,RE,1.0,0,,,,,
