query_num,query_file,mechanism,variant,database,epsilon,delta,seed,n_rows,metric_type,median_re,pass,spearman_rho,p_value,mean_tvd,max_tvd,tvd
1,battery_power_on_geographic_summary.csv,laplace,advance,mini,0.01,N/A,42,37,RE,0.8482,0,,,,,
1,battery_power_on_geographic_summary.csv,laplace,advance,mini,0.05,N/A,43,37,RE,0.148,1,,,,,
1,battery_power_on_geographic_summary.csv,laplace,advance,mini,0.1,N/A,44,37,RE,0.1065,1,,,,,
1,battery_power_on_geographic_summary.csv,laplace,advance,mini,0.5,N/A,45,37,RE,0.0184,1,,,,,
1,battery_power_on_geographic_summary.csv,laplace,advance,mini,1.0,N/A,46,37,RE,0.0053,1,,,,,
1,battery_power_on_geographic_summary.csv,laplace,advance,mini,inf,N/A,47,37,RE,0.0,1,,,,,
2,battery_on_duration_by_cpu_family_and_generation.csv,laplace,advance,mini,0.01,N/A,42,14,RE,1.0,0,,,,,
2,battery_on_duration_by_cpu_family_and_generation.csv,laplace,advance,mini,0.05,N/A,43,14,RE,0.3287,0,,,,,
2,battery_on_duration_by_cpu_family_and_generation.csv,laplace,advance,mini,0.1,N/A,44,14,RE,0.1129,1,,,,,
2,battery_on_duration_by_cpu_family_and_generation.csv,laplace,advance,mini,0.5,N/A,45,14,RE,0.0279,1,,,,,
2,battery_on_duration_by_cpu_family_and_generation.csv,laplace,advance,mini,1.0,N/A,46,14,RE,0.0105,1,,,,,
2,battery_on_duration_by_cpu_family_and_generation.csv,laplace,advance,mini,inf,N/A,47,14,RE,0.0,1,,,,,
3,display_devices_connection_type_resolution_durations.csv,laplace,advance,mini,0.01,N/A,42,225,SPEARMAN,,0,0.4717,0.0,,,
3,display_devices_connection_type_resolution_durations.csv,laplace,advance,mini,0.05,N/A,43,225,SPEARMAN,,1,0.9324,0.0,,,
3,display_devices_connection_type_resolution_durations.csv,laplace,advance,mini,0.1,N/A,44,225,SPEARMAN,,1,0.98,0.0,,,
3,display_devices_connection_type_resolution_durations.csv,laplace,advance,mini,0.5,N/A,45,225,SPEARMAN,,1,0.9988,0.0,,,
3,display_devices_connection_type_resolution_durations.csv,laplace,advance,mini,1.0,N/A,46,225,SPEARMAN,,1,0.9997,0.0,,,
3,display_devices_connection_type_resolution_durations.csv,laplace,advance,mini,inf,N/A,47,225,SPEARMAN,,1,1.0,0.0,,,
4,display_devices_vendors_percentage.csv,laplace,advance,mini,0.01,N/A,42,21,RE,1.0,0,,,,,
4,display_devices_vendors_percentage.csv,laplace,advance,mini,0.05,N/A,43,21,RE,1.0,0,,,,,
4,display_devices_vendors_percentage.csv,laplace,advance,mini,0.1,N/A,44,21,RE,1.0,0,,,,,
4,display_devices_vendors_percentage.csv,laplace,advance,mini,0.5,N/A,45,21,RE,1.0,0,,,,,
4,display_devices_vendors_percentage.csv,laplace,advance,mini,1.0,N/A,46,21,RE,0.5223,0,,,,,
4,display_devices_vendors_percentage.csv,laplace,advance,mini,inf,N/A,47,21,RE,0.0,1,,,,,
5,mods_blockers_by_os_name_and_codename.csv,laplace,advance,mini,0.01,N/A,42,11,RE,6.7634,0,,,,,
5,mods_blockers_by_os_name_and_codename.csv,laplace,advance,mini,0.05,N/A,43,11,RE,1.0,0,,,,,
5,mods_blockers_by_os_name_and_codename.csv,laplace,advance,mini,0.1,N/A,44,11,RE,1.0,0,,,,,
5,mods_blockers_by_os_name_and_codename.csv,laplace,advance,mini,0.5,N/A,45,11,RE,0.2657,0,,,,,
5,mods_blockers_by_os_name_and_codename.csv,laplace,advance,mini,1.0,N/A,46,11,RE,0.0729,1,,,,,
5,mods_blockers_by_os_name_and_codename.csv,laplace,advance,mini,inf,N/A,47,11,RE,0.0,1,,,,,
6,most_popular_browser_in_each_country.csv,laplace,advance,mini,0.01,N/A,42,51,SPEARMAN,,0,0.1999,0.1597,,,
6,most_popular_browser_in_each_country.csv,laplace,advance,mini,0.05,N/A,43,51,SPEARMAN,,0,0.1072,0.4538,,,
6,most_popular_browser_in_each_country.csv,laplace,advance,mini,0.1,N/A,44,51,SPEARMAN,,0,-0.1395,0.3289,,,
6,most_popular_browser_in_each_country.csv,laplace,advance,mini,0.5,N/A,45,51,SPEARMAN,,0,0.373,0.007,,,
6,most_popular_browser_in_each_country.csv,laplace,advance,mini,1.0,N/A,46,51,SPEARMAN,,0,-0.0171,0.9052,,,
6,most_popular_browser_in_each_country.csv,laplace,advance,mini,inf,N/A,47,51,SPEARMAN,,0,0.0069,0.9619,,,
7,on_off_mods_sleep_summary_by_cpu.csv,laplace,advance,mini,0.01,N/A,42,27,TVD,,0,,,0.6758,0.799,
7,on_off_mods_sleep_summary_by_cpu.csv,laplace,advance,mini,0.05,N/A,43,27,TVD,,0,,,0.6306,0.781,
7,on_off_mods_sleep_summary_by_cpu.csv,laplace,advance,mini,0.1,N/A,44,27,TVD,,0,,,0.6551,0.8069,
7,on_off_mods_sleep_summary_by_cpu.csv,laplace,advance,mini,0.5,N/A,45,27,TVD,,0,,,0.5112,0.6221,
7,on_off_mods_sleep_summary_by_cpu.csv,laplace,advance,mini,1.0,N/A,46,27,TVD,,0,,,0.3956,0.5521,
