query_num,query_file,mechanism,database,epsilon,delta,seed,n_rows,metric_type,median_re,pass,spearman_rho,p_value,mean_tvd,max_tvd,tvd
1,battery_power_on_geographic_summary.csv,laplace,mini,0.01,N/A,42,37,RE,0.8482,0,,,,,
1,battery_power_on_geographic_summary.csv,laplace,mini,0.05,N/A,42,37,RE,0.1696,1,,,,,
1,battery_power_on_geographic_summary.csv,laplace,mini,0.1,N/A,42,37,RE,0.0848,1,,,,,
1,battery_power_on_geographic_summary.csv,laplace,mini,0.5,N/A,42,37,RE,0.017,1,,,,,
1,battery_power_on_geographic_summary.csv,laplace,mini,1.0,N/A,42,37,RE,0.0085,1,,,,,
1,battery_power_on_geographic_summary.csv,laplace,mini,inf,N/A,42,37,RE,0.0,1,,,,,
2,battery_on_duration_by_cpu_family_and_generation.csv,laplace,mini,0.01,N/A,42,14,RE,1.0,0,,,,,
2,battery_on_duration_by_cpu_family_and_generation.csv,laplace,mini,0.05,N/A,42,14,RE,0.2152,1,,,,,
2,battery_on_duration_by_cpu_family_and_generation.csv,laplace,mini,0.1,N/A,42,14,RE,0.1076,1,,,,,
2,battery_on_duration_by_cpu_family_and_generation.csv,laplace,mini,0.5,N/A,42,14,RE,0.0215,1,,,,,
2,battery_on_duration_by_cpu_family_and_generation.csv,laplace,mini,1.0,N/A,42,14,RE,0.0108,1,,,,,
2,battery_on_duration_by_cpu_family_and_generation.csv,laplace,mini,inf,N/A,42,14,RE,0.0,1,,,,,
3,display_devices_connection_type_resolution_durations.csv,laplace,mini,0.01,N/A,42,225,SPEARMAN,,0,0.4717,0.0,,,
3,display_devices_connection_type_resolution_durations.csv,laplace,mini,0.05,N/A,42,225,SPEARMAN,,1,0.9203,0.0,,,
3,display_devices_connection_type_resolution_durations.csv,laplace,mini,0.1,N/A,42,225,SPEARMAN,,1,0.9761,0.0,,,
3,display_devices_connection_type_resolution_durations.csv,laplace,mini,0.5,N/A,42,225,SPEARMAN,,1,0.9988,0.0,,,
3,display_devices_connection_type_resolution_durations.csv,laplace,mini,1.0,N/A,42,225,SPEARMAN,,1,0.9996,0.0,,,
3,display_devices_connection_type_resolution_durations.csv,laplace,mini,inf,N/A,42,225,SPEARMAN,,1,1.0,0.0,,,
4,display_devices_vendors_percentage.csv,laplace,mini,0.01,N/A,42,21,RE,1.0,0,,,,,
4,display_devices_vendors_percentage.csv,laplace,mini,0.05,N/A,42,21,RE,1.0,0,,,,,
4,display_devices_vendors_percentage.csv,laplace,mini,0.1,N/A,42,21,RE,1.0,0,,,,,
4,display_devices_vendors_percentage.csv,laplace,mini,0.5,N/A,42,21,RE,1.0,0,,,,,
4,display_devices_vendors_percentage.csv,laplace,mini,1.0,N/A,42,21,RE,0.9684,0,,,,,
4,display_devices_vendors_percentage.csv,laplace,mini,inf,N/A,42,21,RE,0.0,1,,,,,
5,mods_blockers_by_os_name_and_codename.csv,laplace,mini,0.01,N/A,42,11,RE,6.7634,0,,,,,
5,mods_blockers_by_os_name_and_codename.csv,laplace,mini,0.05,N/A,42,11,RE,1.3527,0,,,,,
5,mods_blockers_by_os_name_and_codename.csv,laplace,mini,0.1,N/A,42,11,RE,1.0,0,,,,,
5,mods_blockers_by_os_name_and_codename.csv,laplace,mini,0.5,N/A,42,11,RE,0.3682,0,,,,,
5,mods_blockers_by_os_name_and_codename.csv,laplace,mini,1.0,N/A,42,11,RE,0.1841,1,,,,,
5,mods_blockers_by_os_name_and_codename.csv,laplace,mini,inf,N/A,42,11,RE,0.0,1,,,,,
6,most_popular_browser_in_each_country.csv,laplace,mini,0.01,N/A,42,51,SPEARMAN,,0,0.0069,0.9619,,,
6,most_popular_browser_in_each_country.csv,laplace,mini,0.05,N/A,42,51,SPEARMAN,,0,0.0069,0.9619,,,
6,most_popular_browser_in_each_country.csv,laplace,mini,0.1,N/A,42,51,SPEARMAN,,0,0.0069,0.9619,,,
6,most_popular_browser_in_each_country.csv,laplace,mini,0.5,N/A,42,51,SPEARMAN,,0,0.0069,0.9619,,,
6,most_popular_browser_in_each_country.csv,laplace,mini,1.0,N/A,42,51,SPEARMAN,,0,0.0069,0.9619,,,
6,most_popular_browser_in_each_country.csv,laplace,mini,inf,N/A,42,51,SPEARMAN,,0,0.0069,0.9619,,,
7,on_off_mods_sleep_summary_by_cpu.csv,laplace,mini,0.01,N/A,42,27,TVD,,0,,,0.6341,0.7505,
