query_num,mechanism,metric_type,primary_col,worst_value,worst_epsilon,best_value,best_epsilon,baseline_value,adaptive_threshold,mean_across_eps,std_across_eps,n_pass_hard,frac_pass_hard,pass_threshold,n_pass_adaptive,frac_pass_adaptive,n_epsilons
1,gaussian,RE,median_re,1.0,0.01,0.0,inf,0.0,0.0,0.3841,0.4187,3,0.5,0.25,1,0.1667,6
2,gaussian,RE,median_re,1.0,0.01,0.0,inf,0.0,0.0,0.3265,0.3833,3,0.5,0.25,1,0.1667,6
3,gaussian,SPEARMAN,spearman_rho,0.2006,0.01,1.0,inf,1.0,0.9,0.8065,0.3097,5,0.8333,0.5,3,0.5,6
4,gaussian,RE,median_re,1.0,0.01,0.0,inf,0.0,0.0,0.8333,0.4082,1,0.1667,0.25,1,0.1667,6
5,gaussian,RE,median_re,18.1645,0.01,0.0,inf,0.0,0.0,3.5967,7.1467,1,0.1667,0.25,1,0.1667,6
6,gaussian,SPEARMAN,spearman_rho,-0.1395,0.1,0.373,0.5,0.0069,0.0062,0.0884,0.1808,0,0.0,0.5,4,0.6667,6
7,gaussian,TVD,mean_tvd,0.6739,0.01,0.0,inf,0.0,0.0,0.5034,0.2513,1,0.1667,0.15,1,0.1667,6
8,gaussian,TVD,mean_tvd,0.5845,0.01,0.0,inf,0.0,0.0,0.4748,0.2329,1,0.1667,0.15,1,0.1667,6
9,gaussian,RE,median_re,1.0,0.01,0.0,inf,0.0,0.0,0.5707,0.4786,2,0.3333,0.25,1,0.1667,6
12,gaussian,SPEARMAN,spearman_rho,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0,0.0,0.5,6,1.0,6
1,laplace,RE,median_re,0.8482,0.01,0.0,inf,0.0,0.0,0.1877,0.3291,5,0.8333,0.25,1,0.1667,6
2,laplace,RE,median_re,1.0,0.01,0.0,inf,0.0,0.0,0.2467,0.389,4,0.6667,0.25,1,0.1667,6
3,laplace,SPEARMAN,spearman_rho,0.4717,0.01,1.0,inf,1.0,0.9,0.8971,0.21,5,0.8333,0.5,5,0.8333,6
4,laplace,RE,median_re,1.0,0.01,0.0,inf,0.0,0.0,0.7537,0.4158,1,0.1667,0.25,1,0.1667,6
5,laplace,RE,median_re,6.7634,0.01,0.0,inf,0.0,0.0,1.517,2.6081,2,0.3333,0.25,1,0.1667,6
6,laplace,SPEARMAN,spearman_rho,-0.1395,0.1,0.373,0.5,0.0069,0.0062,0.0884,0.1808,0,0.0,0.5,4,0.6667,6
7,laplace,TVD,mean_tvd,0.6758,0.01,0.0,inf,0.0,0.0,0.4781,0.257,1,0.1667,0.15,1,0.1667,6
8,laplace,TVD,mean_tvd,0.6198,0.1,0.0,inf,0.0,0.0,0.4832,0.2402,1,0.1667,0.15,1,0.1667,6
9,laplace,RE,median_re,1.0,0.01,0.0,inf,0.0,0.0,0.3205,0.3928,3,0.5,0.25,1,0.1667,6
12,laplace,SPEARMAN,spearman_rho,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0,0.0,0.5,6,1.0,6
