query_num,mechanism,metric_type,primary_col,worst_value,worst_epsilon,best_value,best_epsilon,baseline_value,adaptive_threshold,mean_across_eps,std_across_eps,n_pass_hard,frac_pass_hard,pass_threshold,n_pass_adaptive,frac_pass_adaptive,n_epsilons
1,gaussian,RE,median_re,1.0,0.01,0.0,inf,0.0,0.0,0.2896,0.3846,4,0.6667,0.25,1,0.1667,6
2,gaussian,RE,median_re,1.0,0.01,0.0,inf,0.0,0.0,0.3012,0.3864,4,0.6667,0.25,1,0.1667,6
3,gaussian,SPEARMAN,spearman_rho,0.2006,0.01,1.0,inf,1.0,0.9,0.806,0.3116,5,0.8333,0.5,3,0.5,6
4,gaussian,RE,median_re,1.0,0.01,0.0,inf,0.0,0.0,0.8333,0.4082,1,0.1667,0.25,1,0.1667,6
5,gaussian,RE,median_re,18.1645,0.01,0.0,inf,0.0,0.0,4.2119,7.0058,1,0.1667,0.25,1,0.1667,6
6,gaussian,SPEARMAN,spearman_rho,0.0069,0.01,0.0069,0.01,0.0069,0.0062,0.0069,0.0,0,0.0,0.5,6,1.0,6
7,gaussian,TVD,mean_tvd,0.693,0.01,0.0,inf,0.0,0.0,0.3166,0.2767,3,0.5,0.15,1,0.1667,6
8,gaussian,TVD,mean_tvd,0.576,0.01,0.0,inf,0.0,0.0,0.372,0.2159,1,0.1667,0.15,1,0.1667,6
9,gaussian,RE,median_re,1.0,0.01,0.0,inf,0.0,0.0,0.5423,0.4834,3,0.5,0.25,1,0.1667,6
12,gaussian,SPEARMAN,spearman_rho,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0,0.0,0.5,6,1.0,6
1,laplace,RE,median_re,0.8482,0.01,0.0,inf,0.0,0.0,0.188,0.3297,5,0.8333,0.25,1,0.1667,6
2,laplace,RE,median_re,1.0,0.01,0.0,inf,0.0,0.0,0.2258,0.3879,5,0.8333,0.25,1,0.1667,6
3,laplace,SPEARMAN,spearman_rho,0.4717,0.01,1.0,inf,1.0,0.9,0.8944,0.2094,5,0.8333,0.5,5,0.8333,6
4,laplace,RE,median_re,1.0,0.01,0.0,inf,0.0,0.0,0.8281,0.4059,1,0.1667,0.25,1,0.1667,6
5,laplace,RE,median_re,6.7634,0.01,0.0,inf,0.0,0.0,1.6114,2.5754,2,0.3333,0.25,1,0.1667,6
6,laplace,SPEARMAN,spearman_rho,0.0069,0.01,0.0069,0.01,0.0069,0.0062,0.0069,0.0,0,0.0,0.5,6,1.0,6
7,laplace,TVD,mean_tvd,0.6341,0.01,0.0,inf,0.0,0.0,0.2326,0.2476,3,0.5,0.15,1,0.1667,6
8,laplace,TVD,mean_tvd,0.5575,0.01,0.0,inf,0.0,0.0,0.295,0.2024,1,0.1667,0.15,1,0.1667,6
9,laplace,RE,median_re,1.0,0.01,0.0,inf,0.0,0.0,0.3251,0.3962,3,0.5,0.25,1,0.1667,6
12,laplace,SPEARMAN,spearman_rho,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0,0.0,0.5,6,1.0,6
