query_num,epsilon,metric_type,primary_col,gaussian_value,laplace_value,difference,winner
1,0.01,RE,median_re,1.0,0.8482,0.1518,laplace
1,0.05,RE,median_re,0.4335,0.1696,0.2639,laplace
1,0.1,RE,median_re,0.2272,0.0848,0.1424,laplace
1,0.5,RE,median_re,0.0504,0.017,0.0334,laplace
1,1.0,RE,median_re,0.0264,0.0085,0.0179,laplace
1,inf,RE,median_re,0.0,0.0,0.0,tie
2,0.01,RE,median_re,1.0,1.0,0.0,tie
2,0.05,RE,median_re,0.4743,0.2152,0.2591,laplace
2,0.1,RE,median_re,0.2486,0.1076,0.141,laplace
2,0.5,RE,median_re,0.0552,0.0215,0.0337,laplace
2,1.0,RE,median_re,0.0289,0.0108,0.0181,laplace
2,inf,RE,median_re,0.0,0.0,0.0,tie
3,0.01,SPEARMAN,spearman_rho,0.2006,0.4717,-0.2711,laplace
3,0.05,SPEARMAN,spearman_rho,0.7524,0.9203,-0.1679,laplace
3,0.1,SPEARMAN,spearman_rho,0.8964,0.9761,-0.0797,laplace
3,0.5,SPEARMAN,spearman_rho,0.9897,0.9988,-0.0091,laplace
3,1.0,SPEARMAN,spearman_rho,0.9968,0.9996,-0.0028,laplace
3,inf,SPEARMAN,spearman_rho,1.0,1.0,0.0,tie
4,0.01,RE,median_re,1.0,1.0,0.0,tie
4,0.05,RE,median_re,1.0,1.0,0.0,tie
4,0.1,RE,median_re,1.0,1.0,0.0,tie
4,0.5,RE,median_re,1.0,1.0,0.0,tie
4,1.0,RE,median_re,1.0,0.9684,0.0316,laplace
4,inf,RE,median_re,0.0,0.0,0.0,tie
5,0.01,RE,median_re,18.1645,6.7634,11.4011,laplace
5,0.05,RE,median_re,4.1073,1.3527,2.7546,laplace
5,0.1,RE,median_re,2.1526,1.0,1.1526,laplace
5,0.5,RE,median_re,0.5555,0.3682,0.1873,laplace
5,1.0,RE,median_re,0.2913,0.1841,0.1072,laplace
5,inf,RE,median_re,0.0,0.0,0.0,tie
6,0.01,SPEARMAN,spearman_rho,0.0069,0.0069,0.0,tie
6,0.05,SPEARMAN,spearman_rho,0.0069,0.0069,0.0,tie
6,0.1,SPEARMAN,spearman_rho,0.0069,0.0069,0.0,tie
6,0.5,SPEARMAN,spearman_rho,0.0069,0.0069,0.0,tie
6,1.0,SPEARMAN,spearman_rho,0.0069,0.0069,0.0,tie
6,inf,SPEARMAN,spearman_rho,0.0069,0.0069,0.0,tie
7,0.01,TVD,mean_tvd,0.693,0.6341,0.0589,laplace
7,0.05,TVD,mean_tvd,0.5415,0.4039,0.1376,laplace
7,0.1,TVD,mean_tvd,0.4244,0.2429,0.1815,laplace
7,0.5,TVD,mean_tvd,0.1497,0.0707,0.079,laplace
7,1.0,TVD,mean_tvd,0.091,0.0441,0.0469,laplace
7,inf,TVD,mean_tvd,0.0,0.0,0.0,tie
8,0.01,TVD,mean_tvd,0.576,0.5575,0.0185,laplace
8,0.05,TVD,mean_tvd,0.5382,0.4392,0.099,laplace
8,0.1,TVD,mean_tvd,0.4966,0.3804,0.1162,laplace
8,0.5,TVD,mean_tvd,0.3453,0.2227,0.1226,laplace
8,1.0,TVD,mean_tvd,0.276,0.1701,0.1059,laplace
8,inf,TVD,mean_tvd,0.0,0.0,0.0,tie
9,0.01,RE,median_re,1.0,1.0,0.0,tie
9,0.05,RE,median_re,1.0,0.5762,0.4238,laplace
9,0.1,RE,median_re,0.9368,0.2881,0.6487,laplace
9,0.5,RE,median_re,0.2079,0.0576,0.1503,laplace
9,1.0,RE,median_re,0.109,0.0288,0.0802,laplace
9,inf,RE,median_re,0.0,0.0,0.0,tie
12,0.01,SPEARMAN,spearman_rho,0.0,0.0,0.0,tie
12,0.05,SPEARMAN,spearman_rho,0.0,0.0,0.0,tie
12,0.1,SPEARMAN,spearman_rho,0.0,0.0,0.0,tie
12,0.5,SPEARMAN,spearman_rho,0.0,0.0,0.0,tie
12,1.0,SPEARMAN,spearman_rho,0.0,0.0,0.0,tie
12,inf,SPEARMAN,spearman_rho,0.0,0.0,0.0,tie
