query_num,mechanism,metric_type,primary_col,worst_value,worst_epsilon,best_value,best_epsilon,baseline_value,adaptive_threshold,mean_across_eps,std_across_eps,n_pass_hard,frac_pass_hard,pass_threshold,n_pass_adaptive,frac_pass_adaptive,n_epsilons
1,gaussian,RE,median_re,0.0899,0.5,0.0899,0.5,,,0.0899,,1,1.0,0.25,,,1
2,gaussian,RE,median_re,0.0899,0.5,0.0899,0.5,,,0.0899,,1,1.0,0.25,,,1
3,gaussian,SPEARMAN,spearman_rho,0.9934,0.5,0.9934,0.5,,,0.9934,,1,1.0,0.5,,,1
4,gaussian,RE,median_re,1.0,0.5,1.0,0.5,,,1.0,,0,0.0,0.25,,,1
5,gaussian,RE,median_re,0.7239,0.5,0.7239,0.5,,,0.7239,,0,0.0,0.25,,,1
6,gaussian,SPEARMAN,spearman_rho,0.3451,0.5,0.3451,0.5,,,0.3451,,0,0.0,0.5,,,1
7,gaussian,TVD,mean_tvd,0.6163,0.5,0.6163,0.5,,,0.6163,,0,0.0,0.15,,,1
8,gaussian,TVD,mean_tvd,0.5283,0.5,0.5283,0.5,,,0.5283,,0,0.0,0.15,,,1
9,gaussian,RE,median_re,0.2938,0.5,0.2938,0.5,,,0.2938,,0,0.0,0.25,,,1
12,gaussian,SPEARMAN,spearman_rho,0.0,0.5,0.0,0.5,,,0.0,,0,0.0,0.5,,,1
1,laplace,RE,median_re,0.0184,0.5,0.0184,0.5,,,0.0184,,1,1.0,0.25,,,1
2,laplace,RE,median_re,0.0264,0.5,0.0264,0.5,,,0.0264,,1,1.0,0.25,,,1
3,laplace,SPEARMAN,spearman_rho,0.9991,0.5,0.9991,0.5,,,0.9991,,1,1.0,0.5,,,1
4,laplace,RE,median_re,1.0,0.5,1.0,0.5,,,1.0,,0,0.0,0.25,,,1
5,laplace,RE,median_re,0.2275,0.5,0.2275,0.5,,,0.2275,,1,1.0,0.25,,,1
6,laplace,SPEARMAN,spearman_rho,0.3451,0.5,0.3451,0.5,,,0.3451,,0,0.0,0.5,,,1
7,laplace,TVD,mean_tvd,0.5408,0.5,0.5408,0.5,,,0.5408,,0,0.0,0.15,,,1
8,laplace,TVD,mean_tvd,0.4589,0.5,0.4589,0.5,,,0.4589,,0,0.0,0.15,,,1
9,laplace,RE,median_re,0.0621,0.5,0.0621,0.5,,,0.0621,,1,1.0,0.25,,,1
12,laplace,SPEARMAN,spearman_rho,0.0,0.5,0.0,0.5,,,0.0,,0,0.0,0.5,,,1
