query_num,epsilon,metric_type,primary_col,gaussian_value,laplace_value,difference,winner
1,0.01,RE,median_re,1.0,0.8482,0.1518,laplace
1,0.05,RE,median_re,0.758,0.148,0.61,laplace
1,0.1,RE,median_re,0.4219,0.1065,0.3154,laplace
1,0.5,RE,median_re,0.0899,0.0184,0.0715,laplace
1,1.0,RE,median_re,0.0347,0.0053,0.0294,laplace
1,inf,RE,median_re,0.0,0.0,0.0,tie
2,0.01,RE,median_re,1.0,1.0,0.0,tie
2,0.05,RE,median_re,0.5593,0.4226,0.1367,laplace
2,0.1,RE,median_re,0.3252,0.1198,0.2054,laplace
2,0.5,RE,median_re,0.0926,0.0266,0.066,laplace
2,1.0,RE,median_re,0.032,0.0094,0.0226,laplace
2,inf,RE,median_re,0.0,0.0,0.0,tie
3,0.01,SPEARMAN,spearman_rho,0.1733,0.5873,-0.414,laplace
3,0.05,SPEARMAN,spearman_rho,0.7428,0.9522,-0.2094,laplace
3,0.1,SPEARMAN,spearman_rho,0.9055,0.9816,-0.0761,laplace
3,0.5,SPEARMAN,spearman_rho,0.9931,0.9991,-0.006,laplace
3,1.0,SPEARMAN,spearman_rho,0.9979,0.9997,-0.0018,laplace
3,inf,SPEARMAN,spearman_rho,1.0,1.0,0.0,tie
4,0.01,RE,median_re,1.0,1.0,0.0,tie
4,0.05,RE,median_re,1.0,1.0,0.0,tie
4,0.1,RE,median_re,1.0,1.0,0.0,tie
4,0.5,RE,median_re,1.0,1.0,0.0,tie
4,1.0,RE,median_re,1.0,0.3769,0.6231,laplace
4,inf,RE,median_re,0.0,0.0,0.0,tie
5,0.01,RE,median_re,13.9824,5.7414,8.241,laplace
5,0.05,RE,median_re,1.0,1.0,0.0,tie
5,0.1,RE,median_re,1.0,0.9638,0.0362,laplace
5,0.5,RE,median_re,0.6338,0.1992,0.4346,laplace
5,1.0,RE,median_re,0.394,0.0631,0.3309,laplace
5,inf,RE,median_re,0.0,0.0,0.0,tie
6,0.01,SPEARMAN,spearman_rho,0.1926,0.1926,0.0,tie
6,0.05,SPEARMAN,spearman_rho,0.0962,0.0962,0.0,tie
6,0.1,SPEARMAN,spearman_rho,-0.1539,-0.1539,0.0,tie
6,0.5,SPEARMAN,spearman_rho,0.2745,0.2745,0.0,tie
6,1.0,SPEARMAN,spearman_rho,-0.0364,-0.0364,0.0,tie
6,inf,SPEARMAN,spearman_rho,-0.1932,-0.1932,0.0,tie
7,0.01,TVD,mean_tvd,0.6755,0.6469,0.0286,laplace
7,0.05,TVD,mean_tvd,0.5976,0.6504,-0.0528,gaussian
7,0.1,TVD,mean_tvd,0.6243,0.6772,-0.0529,gaussian
7,0.5,TVD,mean_tvd,0.6263,0.5406,0.0857,laplace
7,1.0,TVD,mean_tvd,0.513,0.4258,0.0872,laplace
7,inf,TVD,mean_tvd,0.0,0.0,0.0,tie
8,0.01,TVD,mean_tvd,0.5891,0.6244,-0.0353,gaussian
8,0.05,TVD,mean_tvd,0.5588,0.5961,-0.0373,gaussian
8,0.1,TVD,mean_tvd,0.5578,0.5884,-0.0306,gaussian
8,0.5,TVD,mean_tvd,0.5283,0.4589,0.0694,laplace
8,1.0,TVD,mean_tvd,0.4842,0.3946,0.0896,laplace
8,inf,TVD,mean_tvd,0.0,0.0,0.0,tie
9,0.01,RE,median_re,1.0,1.0,0.0,tie
9,0.05,RE,median_re,1.0,0.562,0.438,laplace
9,0.1,RE,median_re,1.0,0.306,0.694,laplace
9,0.5,RE,median_re,0.2938,0.0621,0.2317,laplace
9,1.0,RE,median_re,0.1469,0.0227,0.1242,laplace
9,inf,RE,median_re,0.0,0.0,0.0,tie
10,0.01,TVD,tvd,0.5335,0.3904,0.1431,laplace
10,0.05,TVD,tvd,0.1292,0.5622,-0.433,gaussian
10,0.1,TVD,tvd,0.1907,0.0771,0.1136,laplace
10,0.5,TVD,tvd,0.0216,0.0125,0.0091,laplace
10,1.0,TVD,tvd,0.0408,0.0197,0.0211,laplace
10,inf,TVD,tvd,0.0,0.0,0.0,tie
11,0.01,TVD,tvd,0.477,0.5413,-0.0643,gaussian
11,0.05,TVD,tvd,0.4542,0.4184,0.0358,laplace
11,0.1,TVD,tvd,0.3511,0.2223,0.1288,laplace
11,0.5,TVD,tvd,0.1628,0.0568,0.106,laplace
11,1.0,TVD,tvd,0.0737,0.021,0.0527,laplace
11,inf,TVD,tvd,0.0,0.0,0.0,tie
12,0.01,SPEARMAN,spearman_rho,0.0,0.0,0.0,tie
12,0.05,SPEARMAN,spearman_rho,0.0,0.0,0.0,tie
12,0.1,SPEARMAN,spearman_rho,0.0,0.0,0.0,tie
12,0.5,SPEARMAN,spearman_rho,0.0,0.0,0.0,tie
12,1.0,SPEARMAN,spearman_rho,0.0,0.0,0.0,tie
12,inf,SPEARMAN,spearman_rho,0.0,0.0,0.0,tie
