query_num,mechanism,metric_type,primary_col,worst_value,worst_epsilon,best_value,best_epsilon,baseline_value,adaptive_threshold,mean_across_eps,std_across_eps,n_pass_hard,frac_pass_hard,pass_threshold,n_pass_adaptive,frac_pass_adaptive,n_epsilons
1,gaussian,RE,median_re,0.0264,1.0,0.0264,1.0,,,0.0264,,1,1.0,0.25,,,1
2,gaussian,RE,median_re,0.0273,1.0,0.0273,1.0,,,0.0273,,1,1.0,0.25,,,1
3,gaussian,SPEARMAN,spearman_rho,0.9978,1.0,0.9978,1.0,,,0.9978,,1,1.0,0.5,,,1
4,gaussian,RE,median_re,1.0,1.0,1.0,1.0,,,1.0,,0,0.0,0.25,,,1
5,gaussian,RE,median_re,0.2186,1.0,0.2186,1.0,,,0.2186,,1,1.0,0.25,,,1
6,gaussian,SPEARMAN,spearman_rho,0.0644,1.0,0.0644,1.0,,,0.0644,,0,0.0,0.5,,,1
7,gaussian,TVD,mean_tvd,0.0829,1.0,0.0829,1.0,,,0.0829,,1,1.0,0.15,,,1
8,gaussian,TVD,mean_tvd,0.1481,1.0,0.1481,1.0,,,0.1481,,1,1.0,0.15,,,1
9,gaussian,RE,median_re,0.1115,1.0,0.1115,1.0,,,0.1115,,1,1.0,0.25,,,1
12,gaussian,SPEARMAN,spearman_rho,0.0,1.0,0.0,1.0,,,0.0,,0,0.0,0.5,,,1
1,laplace,RE,median_re,0.0085,1.0,0.0085,1.0,,,0.0085,,1,1.0,0.25,,,1
2,laplace,RE,median_re,0.0105,1.0,0.0105,1.0,,,0.0105,,1,1.0,0.25,,,1
3,laplace,SPEARMAN,spearman_rho,0.9997,1.0,0.9997,1.0,,,0.9997,,1,1.0,0.5,,,1
4,laplace,RE,median_re,0.66,1.0,0.66,1.0,,,0.66,,0,0.0,0.25,,,1
5,laplace,RE,median_re,0.1084,1.0,0.1084,1.0,,,0.1084,,1,1.0,0.25,,,1
6,laplace,SPEARMAN,spearman_rho,0.0644,1.0,0.0644,1.0,,,0.0644,,0,0.0,0.5,,,1
7,laplace,TVD,mean_tvd,0.0442,1.0,0.0442,1.0,,,0.0442,,1,1.0,0.15,,,1
8,laplace,TVD,mean_tvd,0.0989,1.0,0.0989,1.0,,,0.0989,,1,1.0,0.15,,,1
9,laplace,RE,median_re,0.0299,1.0,0.0299,1.0,,,0.0299,,1,1.0,0.25,,,1
12,laplace,SPEARMAN,spearman_rho,0.0,1.0,0.0,1.0,,,0.0,,0,0.0,0.5,,,1
