query_num,epsilon,metric_type,primary_col,gaussian_value,laplace_value,difference,winner
1,0.01,RE,median_re,1.0,0.8482,0.1518,laplace
1,0.05,RE,median_re,0.4335,0.1696,0.2639,laplace
1,0.1,RE,median_re,0.2272,0.0848,0.1424,laplace
1,0.5,RE,median_re,0.0504,0.017,0.0334,laplace
1,1.0,RE,median_re,0.0264,0.0085,0.0179,laplace
1,inf,RE,median_re,0.0,0.0,0.0,tie
2,0.01,RE,median_re,1.0,1.0,0.0,tie
2,0.05,RE,median_re,0.4854,0.2071,0.2783,laplace
2,0.1,RE,median_re,0.2544,0.1036,0.1508,laplace
2,0.5,RE,median_re,0.0565,0.0207,0.0358,laplace
2,1.0,RE,median_re,0.0296,0.0104,0.0192,laplace
2,inf,RE,median_re,0.0,0.0,0.0,tie
3,0.01,SPEARMAN,spearman_rho,0.1733,0.5873,-0.414,laplace
3,0.05,SPEARMAN,spearman_rho,0.7354,0.9403,-0.2049,laplace
3,0.1,SPEARMAN,spearman_rho,0.9005,0.9807,-0.0802,laplace
3,0.5,SPEARMAN,spearman_rho,0.993,0.999,-0.006,laplace
3,1.0,SPEARMAN,spearman_rho,0.9978,0.9997,-0.0019,laplace
3,inf,SPEARMAN,spearman_rho,1.0,1.0,0.0,tie
4,0.01,RE,median_re,1.0,1.0,0.0,tie
4,0.05,RE,median_re,1.0,1.0,0.0,tie
4,0.1,RE,median_re,1.0,1.0,0.0,tie
4,0.5,RE,median_re,1.0,1.0,0.0,tie
4,1.0,RE,median_re,1.0,0.66,0.34,laplace
4,inf,RE,median_re,0.0,0.0,0.0,tie
5,0.01,RE,median_re,13.9824,5.7414,8.241,laplace
5,0.05,RE,median_re,3.1617,1.1483,2.0134,laplace
5,0.1,RE,median_re,1.657,1.0,0.657,laplace
5,0.5,RE,median_re,0.4372,0.2265,0.2107,laplace
5,1.0,RE,median_re,0.2292,0.1132,0.116,laplace
5,inf,RE,median_re,0.0,0.0,0.0,tie
6,0.01,SPEARMAN,spearman_rho,-0.1932,-0.1932,0.0,tie
6,0.05,SPEARMAN,spearman_rho,-0.1932,-0.1932,0.0,tie
6,0.1,SPEARMAN,spearman_rho,-0.1932,-0.1932,0.0,tie
6,0.5,SPEARMAN,spearman_rho,-0.1932,-0.1932,0.0,tie
6,1.0,SPEARMAN,spearman_rho,-0.1932,-0.1932,0.0,tie
6,inf,SPEARMAN,spearman_rho,-0.1932,-0.1932,0.0,tie
7,0.01,TVD,mean_tvd,0.6972,0.608,0.0892,laplace
7,0.05,TVD,mean_tvd,0.5838,0.4304,0.1534,laplace
7,0.1,TVD,mean_tvd,0.4635,0.2342,0.2293,laplace
7,0.5,TVD,mean_tvd,0.1758,0.0751,0.1007,laplace
7,1.0,TVD,mean_tvd,0.099,0.0471,0.0519,laplace
7,inf,TVD,mean_tvd,0.0,0.0,0.0,tie
8,0.01,TVD,mean_tvd,0.5624,0.5182,0.0442,laplace
8,0.05,TVD,mean_tvd,0.4469,0.3399,0.107,laplace
8,0.1,TVD,mean_tvd,0.361,0.2515,0.1095,laplace
8,0.5,TVD,mean_tvd,0.1916,0.1279,0.0637,laplace
8,1.0,TVD,mean_tvd,0.1481,0.0989,0.0492,laplace
8,inf,TVD,mean_tvd,0.0,0.0,0.0,tie
9,0.01,RE,median_re,1.0,1.0,0.0,tie
9,0.05,RE,median_re,1.0,0.5975,0.4025,laplace
9,0.1,RE,median_re,0.958,0.2988,0.6592,laplace
9,0.5,RE,median_re,0.2126,0.0598,0.1528,laplace
9,1.0,RE,median_re,0.1115,0.0299,0.0816,laplace
9,inf,RE,median_re,0.0,0.0,0.0,tie
10,0.01,TVD,tvd,0.5335,0.3904,0.1431,laplace
10,0.05,TVD,tvd,0.5253,0.1649,0.3604,laplace
10,0.1,TVD,tvd,0.3784,0.0958,0.2826,laplace
10,0.5,TVD,tvd,0.0843,0.022,0.0623,laplace
10,1.0,TVD,tvd,0.0442,0.0112,0.033,laplace
10,inf,TVD,tvd,0.0,0.0,0.0,tie
11,0.01,TVD,tvd,0.477,0.5413,-0.0643,gaussian
11,0.05,TVD,tvd,0.4122,0.336,0.0762,laplace
11,0.1,TVD,tvd,0.3224,0.1933,0.1291,laplace
11,0.5,TVD,tvd,0.1008,0.0393,0.0615,laplace
11,1.0,TVD,tvd,0.054,0.0197,0.0343,laplace
11,inf,TVD,tvd,0.0,0.0,0.0,tie
12,0.01,SPEARMAN,spearman_rho,0.0,0.0,0.0,tie
12,0.05,SPEARMAN,spearman_rho,0.0,0.0,0.0,tie
12,0.1,SPEARMAN,spearman_rho,0.0,0.0,0.0,tie
12,0.5,SPEARMAN,spearman_rho,0.0,0.0,0.0,tie
12,1.0,SPEARMAN,spearman_rho,0.0,0.0,0.0,tie
12,inf,SPEARMAN,spearman_rho,0.0,0.0,0.0,tie
